data(decimal): 362, data(binary): 0101101010, data_error: 0, frame_error: 0
data(decimal): 363, data(binary): 0101101011, data_error: 0, frame_error: 0
data(decimal): 364, data(binary): 0101101100, data_error: 0, frame_error: 0
data(decimal): 365, data(binary): 0101101101, data_error: 0, frame_error: 0
data(decimal): 366, data(binary): 0101101110, data_error: 0, frame_error: 0
data(decimal): 367, data(binary): 0101101111, data_error: 0, frame_error: 0
data(decimal): 368, data(binary): 0101110000, data_error: 0, frame_error: 0
data(decimal): 369, data(binary): 0101110001, data_error: 0, frame_error: 0
data(decimal): 370, data(binary): 0101110010, data_error: 0, frame_error: 0
data(decimal): 371, data(binary): 0101110011, data_error: 0, frame_error: 0
data(decimal): 372, data(binary): 0101110100, data_error: 0, frame_error: 0
data(decimal): 373, data(binary): 0101110101, data_error: 0, frame_error: 0
data(decimal): 374, data(binary): 0101110110, data_error: 0, frame_error: 0
data(decimal): 375, data(binary): 0101110111, data_error: 0, frame_error: 0
data(decimal): 376, data(binary): 0101111000, data_error: 0, frame_error: 0
data(decimal): 377, data(binary): 0101111001, data_error: 0, frame_error: 0
data(decimal): 378, data(binary): 0101111010, data_error: 0, frame_error: 0
data(decimal): 379, data(binary): 0101111011, data_error: 0, frame_error: 0
data(decimal): 380, data(binary): 0101111100, data_error: 0, frame_error: 0
data(decimal): 381, data(binary): 0101111101, data_error: 0, frame_error: 0
data(decimal): 382, data(binary): 0101111110, data_error: 0, frame_error: 0
data(decimal): 383, data(binary): 0101111111, data_error: 0, frame_error: 0
data(decimal): 384, data(binary): 0110000000, data_error: 0, frame_error: 0
data(decimal): 385, data(binary): 0110000001, data_error: 0, frame_error: 0
data(decimal): 386, data(binary): 0110000010, data_error: 0, frame_error: 0
data(decimal): 387, data(binary): 0110000011, data_error: 0, frame_error: 0
data(decimal): 388, data(binary): 0110000100, data_error: 0, frame_error: 0
data(decimal): 389, data(binary): 0110000101, data_error: 0, frame_error: 0
